tree,height_m,file,bad,threshold,area_px,area_mm2,area_frac
12243,4.4,23879.tif,0,90,232110,14506.9,0.9855
12243,4.4,23879.tif,0,100,235119,14694.9,0.9982
12603,1.4,23833.tif,0,10,217,13.6,0.0003
12603,1.4,23833.tif,0,20,6855,428.4,0.0093
12603,1.4,23833.tif,0,30,10653,665.8,0.0145
12603,1.4,23833.tif,0,40,17712,1107.0,0.0241
12603,1.4,23833.tif,0,50,60966,3810.4,0.0829
12603,1.4,23833.tif,0,60,185317,11582.3,0.252
12603,1.4,23833.tif,0,70,468946,29309.1,0.6377
12603,1.4,23833.tif,0,80,645778,40361.1,0.8781
12603,1.4,23833.tif,0,90,689879,43117.4,0.9381
12603,1.4,23833.tif,0,100,716967,44810.4,0.9749
12603,3.1,23835.tif,0,10,464,29.0,0.0008
12603,3.1,23835.tif,0,20,4772,298.2,0.008
12603,3.1,23835.tif,0,30,17524,1095.2,0.0292
12603,3.1,23835.tif,0,40,40020,2501.2,0.0667
12603,3.1,23835.tif,0,50,55253,3453.3,0.0921
12603,3.1,23835.tif,0,60,101693,6355.8,0.1695
12603,3.1,23835.tif,0,70,406038,25377.4,0.6769
12603,3.1,23835.tif,0,80,533398,33337.4,0.8893
12603,3.1,23835.tif,0,90,559358,34959.9,0.9326
12603,3.1,23835.tif,0,100,580635,36289.7,0.968
12603,4.1,23837.tif,0,10,498,31.1,0.0011
12603,4.1,23837.tif,0,20,2637,164.8,0.0056
12603,4.1,23837.tif,0,30,5428,339.2,0.0116
12603,4.1,23837.tif,0,40,7622,476.4,0.0163
12603,4.1,23837.tif,0,50,19687,1230.4,0.0422
12603,4.1,23837.tif,0,60,48379,3023.7,0.1036
12603,4.1,23837.tif,0,70,331028,20689.2,0.7088
12603,4.1,23837.tif,0,80,411361,25710.1,0.8808
12603,4.1,23837.tif,0,90,429684,26855.2,0.92
12603,4.1,23837.tif,0,100,451030,28189.4,0.9657
12603,5.1,23839.tif,0,10,1429,89.3,0.0033
12603,5.1,23839.tif,0,20,5783,361.4,0.0132
12603,5.1,23839.tif,0,30,10080,630.0,0.0231
12603,5.1,23839.tif,0,40,31184,1949.0,0.0714
12603,5.1,23839.tif,0,50,41374,2585.9,0.0948
12603,5.1,23839.tif,0,60,93287,5830.4,0.2137
12603,5.1,23839.tif,0,70,311250,19453.1,0.713
12603,5.1,23839.tif,0,80,387704,24231.5,0.8881
12603,5.1,23839.tif,0,90,403362,25210.1,0.924
